날짜,카테고리,금액
2023-01-01,마트,97300
2023-01-01,데이트,114600
2023-01-01,운동,84900
2023-01-01,기부,29800
2023-01-02,대중교통,1500
2023-01-02,대중교통,2800
2023-01-03,주거용품,23600
2023-01-03,자동차,190200
2023-01-03,병원,64400
2023-01-03,데이트,135600
2023-01-03,자동차,100000
2023-01-04,경조사,48200
2023-01-04,관리비,61900
2023-01-04,외식,48900
2023-01-04,선물,85700
2023-01-04,주거용품,9000
2023-01-05,보험료,255500
2023-01-05,병원,49100
2023-01-05,관리비,71000
2023-01-06,쇼핑,80100
2023-01-06,경조사,65900
2023-01-07,자동차,91500
2023-01-07,외식,18900
2023-01-07,쇼핑,67300
2023-01-08,자동차,64700
2023-01-09,미용,13600
2023-01-09,기부,43500
2023-01-09,미용,59800
2023-01-09,관리비,78100
2023-01-09,기부,38800
2023-01-10,고정저축,309300
2023-01-10,미용,18600
2023-01-10,자동차,167000
2023-01-10,관리비,74500
2023-01-10,자동차,138300
2023-01-11,관리비,81600
2023-01-11,선물,47900
2023-01-11,기부,15400
2023-01-11,운동,93600
2023-01-12,관리비,74900
2023-01-12,외식,42000
2023-01-12,주거용품,66800
2023-01-12,자동차,51300
2023-01-12,마트,16600
2023-01-13,기부,37000
2023-01-13,경조사,77600
2023-01-14,관리비,91300
2023-01-14,대중교통,1400
2023-01-14,미용,47200
2023-01-14,외식,14600
2023-01-14,주거용품,63500
2023-01-15,회비,18600
2023-01-15,여행,702700
2023-01-15,여행,650700
2023-01-15,여행,418100
2023-01-15,선물,14700
2023-01-15,운동,22300
2023-01-15,선물,57000
2023-01-15,운동,16400
2023-01-16,선물,11700
2023-01-16,대중교통,2300
2023-01-16,기부,23300
2023-01-17,미용,66300
2023-01-17,데이트,36800
2023-01-17,자동차,73300
2023-01-17,주거용품,47700
2023-01-17,운동,48800
2023-01-18,선물,99900
2023-01-18,병원,148800
2023-01-18,선물,14500
2023-01-18,운동,27500
2023-01-19,대중교통,1400
2023-01-20,멤버십,27900
2023-01-20,대중교통,2300
2023-01-21,대중교통,1700
2023-01-22,기부,41500
2023-01-22,기부,9400
2023-01-22,자동차,80200
2023-01-22,대중교통,2300
2023-01-23,선물,89600
2023-01-23,외식,40900
2023-01-23,선물,60600
2023-01-24,외식,22600
2023-01-25,통신비,65100
2023-01-25,마트,55500
2023-01-25,병원,168700
2023-01-26,데이트,40800
2023-01-27,주거용품,5000
2023-01-27,마트,87000
2023-01-27,외식,28300
2023-01-27,병원,184800
2023-01-28,경조사,70800
2023-01-28,마트,57900
2023-01-29,주거용품,52200
2023-01-30,선물,17200
2023-01-31,외식,34700
2023-01-31,선물,38400
2023-01-31,관리비,93600
2023-02-01,기부,40600
2023-02-01,외식,40200
2023-02-01,대중교통,1500
2023-02-01,관리비,53500
2023-02-02,대중교통,1800
2023-02-02,기부,42100
2023-02-03,대중교통,2500
2023-02-04,외식,38000
2023-02-04,병원,149100
2023-02-04,데이트,101600
2023-02-05,보험료,255500
2023-02-05,기부,39000
2023-02-06,외식,11100
2023-02-06,자동차,118000
2023-02-06,주거용품,34300
2023-02-07,기부,17600
2023-02-08,미용,46200
2023-02-08,주거용품,10600
2023-02-09,자동차,169300
2023-02-09,운동,18600
2023-02-09,미용,20700
2023-02-09,자동차,182800
2023-02-09,주거용품,16700
2023-02-10,고정저축,309300
2023-02-10,병원,52500
2023-02-11,주거용품,47500
2023-02-11,자동차,182600
2023-02-11,외식,14000
2023-02-12,병원,165500
2023-02-12,자동차,197300
2023-02-12,쇼핑,112100
2023-02-12,경조사,61100
2023-02-13,선물,83700
2023-02-13,관리비,87700
2023-02-13,대중교통,2500
2023-02-13,선물,81600
2023-02-14,쇼핑,127000
2023-02-14,미용,32500
2023-02-15,회비,18600
2023-02-15,외식,32000
2023-02-15,자동차,139500
2023-02-15,경조사,35500
2023-02-16,미용,68900
2023-02-16,관리비,70100
2023-02-17,주거용품,24100
2023-02-18,운동,13300
2023-02-18,주거용품,56400
2023-02-18,쇼핑,88100
2023-02-18,주거용품,19000
2023-02-18,선물,94700
2023-02-19,외식,26200
2023-02-19,대중교통,2300
2023-02-20,멤버십,27900
2023-02-20,쇼핑,145900
2023-02-20,관리비,69900
2023-02-20,주거용품,43900
2023-02-20,관리비,62900
2023-02-21,미용,9400
2023-02-22,선물,15100
2023-02-22,미용,15400
2023-02-22,데이트,31300
2023-02-22,마트,10700
2023-02-23,선물,19600
2023-02-23,관리비,71700
2023-02-23,자동차,123800
2023-02-23,쇼핑,15100
2023-02-24,주거용품,37000
2023-02-24,운동,78300
2023-02-25,통신비,65100
2023-02-25,마트,79700
2023-02-25,마트,26000
2023-02-26,마트,11100
2023-02-26,선물,80700
2023-02-26,기부,45900
2023-02-27,경조사,46500
2023-02-28,선물,96700
2023-02-28,자동차,136500
2023-02-28,자동차,104800
2023-02-28,경조사,65100
2023-03-01,데이트,133900
2023-03-01,관리비,97100
2023-03-01,경조사,76400
2023-03-02,데이트,120100
2023-03-02,주거용품,13000
2023-03-02,병원,94300
2023-03-02,쇼핑,98200
2023-03-02,병원,144300
2023-03-03,선물,60400
2023-03-03,외식,20600
2023-03-04,쇼핑,137200
2023-03-04,데이트,119400
2023-03-05,보험료,255500
2023-03-05,미용,41300
2023-03-05,선물,99400
2023-03-05,주거용품,49100
2023-03-05,데이트,52300
2023-03-06,데이트,58900
2023-03-07,선물,93800
2023-03-07,외식,44900
2023-03-07,관리비,64600
2023-03-08,데이트,45700
2023-03-08,미용,31000
2023-03-09,경조사,60100
2023-03-09,대중교통,1200
2023-03-09,외식,28200
2023-03-09,미용,52500
2023-03-10,고정저축,309300
2023-03-10,자동차,196000
2023-03-10,미용,10800
2023-03-11,선물,23100
2023-03-11,외식,38200
2023-03-12,관리비,91000
2023-03-12,외식,27100
2023-03-12,자동차,139300
2023-03-13,마트,77000
2023-03-13,대중교통,2400
2023-03-14,병원,188500
2023-03-14,운동,30600
2023-03-15,회비,18600
2023-03-15,데이트,94700
2023-03-15,주거용품,65000
2023-03-15,선물,89000
2023-03-16,대중교통,1800
2023-03-16,관리비,65700
2023-03-16,운동,28200
2023-03-16,운동,76500
2023-03-17,주거용품,56800
2023-03-17,선물,83600
2023-03-17,쇼핑,104600
2023-03-18,병원,44100
2023-03-18,주거용품,66800
2023-03-19,기부,29700
2023-03-20,멤버십,27900
2023-03-20,미용,67800
2023-03-20,관리비,56000
2023-03-20,외식,26200
2023-03-20,관리비,77200
2023-03-21,자동차,103700
2023-03-21,경조사,70800
2023-03-21,대중교통,2800
2023-03-21,선물,43300
2023-03-22,기부,4100
2023-03-22,관리비,93600
2023-03-22,운동,96800
2023-03-22,주거용품,48300
2023-03-23,기부,36000
2023-03-23,대중교통,2700
2023-03-24,선물,27800
2023-03-24,병원,181000
2023-03-24,마트,59400
2023-03-25,통신비,65100
2023-03-25,경조사,44600
2023-03-25,미용,43000
2023-03-26,선물,76000
2023-03-26,기부,20500
2023-03-26,쇼핑,139500
2023-03-26,쇼핑,9600
2023-03-27,미용,68700
2023-03-27,관리비,57100
2023-03-27,병원,72900
2023-03-28,주거용품,51300
2023-03-28,운동,79700
2023-03-28,마트,57200
2023-03-28,데이트,69900
2023-03-29,데이트,50800
2023-03-29,자동차,93900
2023-03-29,기부,45200
2023-03-29,주거용품,20500
2023-03-30,마트,42000
2023-03-30,관리비,99100
2023-03-30,외식,39700
2023-03-31,운동,77300
2023-03-31,기부,49700
2023-03-31,선물,67000
2023-03-31,대중교통,2300
2023-04-01,병원,53300
2023-04-01,대중교통,2600
2023-04-01,관리비,78500
2023-04-01,데이트,126700
2023-04-02,쇼핑,143800
2023-04-02,병원,100900
2023-04-02,병원,189600
2023-04-03,병원,32900
2023-04-03,경조사,16000
2023-04-03,자동차,177400
2023-04-03,운동,28300
2023-04-03,관리비,61600
2023-04-04,쇼핑,51100
2023-04-05,보험료,255500
2023-04-05,쇼핑,103900
2023-04-05,주거용품,67800
2023-04-06,데이트,99100
2023-04-07,쇼핑,14100
2023-04-08,쇼핑,63700
2023-04-08,데이트,50300
2023-04-08,쇼핑,41600
2023-04-08,선물,82300
2023-04-08,자동차,115000
2023-04-09,대중교통,1700
2023-04-10,고정저축,309300
2023-04-10,병원,48000
2023-04-10,기부,41300
2023-04-10,자동차,59500
2023-04-11,선물,21300
2023-04-11,데이트,63600
2023-04-12,마트,16600
2023-04-12,쇼핑,71300
2023-04-12,경조사,21400
2023-04-13,주거용품,62700
2023-04-13,경조사,70400
2023-04-14,자동차,75800
2023-04-14,쇼핑,128600
2023-04-15,회비,18600
2023-04-15,여행,555500
2023-04-15,여행,199900
2023-04-15,여행,468200
2023-04-15,대중교통,2600
2023-04-15,자동차,100300
2023-04-15,쇼핑,17300
2023-04-15,쇼핑,67100
2023-04-16,운동,34500
2023-04-16,미용,47000
2023-04-16,관리비,96800
2023-04-16,데이트,25000
2023-04-16,운동,52800
2023-04-17,병원,57400
2023-04-17,자동차,156400
2023-04-17,대중교통,2300
2023-04-17,데이트,84300
2023-04-18,관리비,79400
2023-04-18,병원,10900
2023-04-19,자동차,139500
2023-04-19,마트,89400
2023-04-19,마트,31700
2023-04-19,병원,142500
2023-04-19,마트,48400
2023-04-20,멤버십,27900
2023-04-20,대중교통,1400
2023-04-20,데이트,132600
2023-04-21,대중교통,1300
2023-04-22,주거용품,58100
2023-04-22,기부,5800
2023-04-22,주거용품,69200
2023-04-23,마트,66400
2023-04-24,자동차,161500
2023-04-24,마트,50600
2023-04-24,운동,50900
2023-04-25,통신비,65100
2023-04-25,병원,180600
2023-04-26,외식,28600
2023-04-26,데이트,37000
2023-04-27,데이트,33900
2023-04-27,선물,86100
2023-04-28,대중교통,2400
2023-04-28,주거용품,16300
2023-04-28,관리비,68200
2023-04-29,미용,28900
2023-04-29,관리비,76800
2023-04-30,대중교통,1700
2023-04-30,자동차,154500
2023-04-30,운동,40100
2023-04-30,데이트,133900
2023-04-30,주거용품,51000
2023-05-01,운동,96600
2023-05-01,미용,59800
2023-05-01,미용,58200
2023-05-01,운동,98200
2023-05-01,미용,35400
2023-05-02,외식,45300
2023-05-02,주거용품,51300
2023-05-02,기부,6600
2023-05-03,자동차,89700
2023-05-03,쇼핑,95700
2023-05-03,마트,52900
2023-05-03,관리비,81300
2023-05-04,데이트,64800
2023-05-04,병원,49100
2023-05-04,경조사,74100
2023-05-04,외식,18000
2023-05-04,마트,50000
2023-05-05,보험료,255500
2023-05-05,운동,35800
2023-05-05,주거용품,7300
2023-05-06,기부,16600
2023-05-06,자동차,78200
2023-05-06,관리비,51700
2023-05-07,주거용품,59600
2023-05-07,미용,26500
2023-05-07,관리비,70300
2023-05-07,병원,74600
2023-05-08,선물,60300
2023-05-09,선물,31100
2023-05-10,고정저축,309300
2023-05-10,외식,14700
2023-05-10,대중교통,1500
2023-05-11,기부,14000
2023-05-12,자동차,132600
2023-05-12,주거용품,16300
2023-05-12,대중교통,2900
2023-05-12,주거용품,34800
2023-05-13,선물,98900
2023-05-13,쇼핑,23900
2023-05-13,선물,82400
2023-05-14,자동차,93500
2023-05-14,데이트,103400
2023-05-14,미용,38700
2023-05-14,운동,76400
2023-05-15,회비,18600
2023-05-15,마트,76800
2023-05-15,주거용품,6300
2023-05-16,경조사,61000
2023-05-16,관리비,64600
2023-05-16,병원,183500
2023-05-16,대중교통,1700
2023-05-17,선물,80200
2023-05-17,자동차,111600
2023-05-18,경조사,76500
2023-05-18,주거용품,68800
2023-05-19,대중교통,1700
2023-05-20,멤버십,27900
2023-05-20,미용,38200
2023-05-20,경조사,29700
2023-05-20,자동차,75100
2023-05-21,관리비,67600
2023-05-22,기부,7800
2023-05-23,자동차,146400
2023-05-24,경조사,89500
2023-05-24,데이트,122000
2023-05-24,대중교통,2800
2023-05-25,통신비,65100
2023-05-25,미용,46000
2023-05-25,쇼핑,28700
2023-05-25,미용,52900
2023-05-26,운동,22400
2023-05-26,병원,171800
2023-05-26,미용,63200
2023-05-27,쇼핑,119200
2023-05-27,미용,69900
2023-05-27,마트,86700
2023-05-28,데이트,115700
2023-05-28,기부,38000
2023-05-29,쇼핑,144700
2023-05-29,데이트,69500
2023-05-29,데이트,104000
2023-05-29,외식,17000
2023-05-29,미용,38400
2023-05-30,미용,23000
2023-05-31,자동차,102500
2023-05-31,대중교통,2500
2023-05-31,선물,11600
2023-05-31,주거용품,46500
2023-05-31,마트,99000
2023-06-01,외식,48900
2023-06-02,자동차,128600
2023-06-02,외식,19500
2023-06-02,선물,45500
2023-06-02,미용,38300
2023-06-02,데이트,65900
2023-06-03,경조사,67200
2023-06-03,관리비,68200
2023-06-03,자동차,161300
2023-06-04,운동,95600
2023-06-04,미용,17900
2023-06-04,대중교통,2000
2023-06-04,쇼핑,67500
2023-06-05,보험료,255500
2023-06-05,경조사,13200
2023-06-05,주거용품,18200
2023-06-06,마트,45600
2023-06-06,경조사,43600
2023-06-07,외식,38200
2023-06-07,관리비,54400
2023-06-08,데이트,124000
2023-06-08,주거용품,6500
2023-06-08,기부,19500
2023-06-08,병원,163700
2023-06-09,쇼핑,67800
2023-06-09,쇼핑,68300
2023-06-09,선물,57400
2023-06-10,고정저축,309300
2023-06-10,자동차,180100
2023-06-10,운동,31100
2023-06-11,주거용품,9000
2023-06-11,선물,46700
2023-06-11,대중교통,2800
2023-06-11,미용,9400
2023-06-12,자동차,82000
2023-06-12,기부,5400
2023-06-12,미용,11400
2023-06-12,관리비,81800
2023-06-13,경조사,86100
2023-06-13,운동,51400
2023-06-13,병원,138700
2023-06-14,경조사,36100
2023-06-14,기부,15200
2023-06-14,마트,44600
2023-06-15,회비,18600
2023-06-15,쇼핑,52400
2023-06-15,운동,25500
2023-06-15,데이트,55200
2023-06-16,데이트,59100
2023-06-16,자동차,112200
2023-06-17,자동차,162500
2023-06-17,미용,18600
2023-06-17,기부,24700
2023-06-17,마트,65000
2023-06-17,기부,42300
2023-06-18,대중교통,1600
2023-06-19,쇼핑,37100
2023-06-19,데이트,47800
2023-06-20,멤버십,27900
2023-06-20,경조사,19500
2023-06-20,선물,90300
2023-06-20,선물,78200
2023-06-20,운동,44600
2023-06-21,마트,45600
2023-06-22,경조사,57400
2023-06-22,병원,196400
2023-06-22,주거용품,54400
2023-06-22,쇼핑,102700
2023-06-22,대중교통,1600
2023-06-23,주거용품,10400
2023-06-23,관리비,62300
2023-06-23,외식,43100
2023-06-24,주거용품,60500
2023-06-24,대중교통,2700
2023-06-24,자동차,66900
2023-06-24,대중교통,1800
2023-06-25,통신비,65100
2023-06-25,기부,18700
2023-06-25,주거용품,68000
2023-06-25,병원,64400
2023-06-25,마트,95300
2023-06-25,주거용품,19400
2023-06-26,기부,29700
2023-06-26,마트,59400
2023-06-26,관리비,79500
2023-06-27,데이트,114900
2023-06-28,외식,23800
2023-06-29,쇼핑,118100
2023-06-29,기부,19700
2023-06-29,외식,35600
2023-06-30,병원,98700
2023-06-30,자동차,115500
2023-06-30,미용,20100
